video,frame_path,frame_index,time_s
data/139-135737102_medium.mp4,data/video_frames/139-135737102_medium/frame_00000.jpg,0,0.0
data/139-135737102_medium.mp4,data/video_frames/139-135737102_medium/frame_00001.jpg,50,2.0
data/139-135737102_medium.mp4,data/video_frames/139-135737102_medium/frame_00002.jpg,100,4.0
data/139-135737102_medium.mp4,data/video_frames/139-135737102_medium/frame_00003.jpg,150,6.0
data/139-135737102_medium.mp4,data/video_frames/139-135737102_medium/frame_00004.jpg,200,8.0
data/139-135737102_medium.mp4,data/video_frames/139-135737102_medium/frame_00005.jpg,250,10.0
data/139-135737102_medium.mp4,data/video_frames/139-135737102_medium/frame_00006.jpg,300,12.0
data/2662-161442863_medium.mp4,data/video_frames/2662-161442863_medium/frame_00000.jpg,0,0.0
data/2662-161442863_medium.mp4,data/video_frames/2662-161442863_medium/frame_00001.jpg,50,2.0
data/2662-161442863_medium.mp4,data/video_frames/2662-161442863_medium/frame_00002.jpg,100,4.0
data/2662-161442863_medium.mp4,data/video_frames/2662-161442863_medium/frame_00003.jpg,150,6.0
data/2662-161442863_medium.mp4,data/video_frames/2662-161442863_medium/frame_00004.jpg,200,8.0
data/2662-161442863_medium.mp4,data/video_frames/2662-161442863_medium/frame_00005.jpg,250,10.0
data/2662-161442863_medium.mp4,data/video_frames/2662-161442863_medium/frame_00006.jpg,300,12.0
data/2662-161442863_medium.mp4,data/video_frames/2662-161442863_medium/frame_00007.jpg,350,14.0
data/35867-408654189.mp4,data/video_frames/35867-408654189/frame_00000.jpg,0,0.0
data/35867-408654189.mp4,data/video_frames/35867-408654189/frame_00001.jpg,60,2.002
data/35867-408654189.mp4,data/video_frames/35867-408654189/frame_00002.jpg,120,4.004
data/35867-408654189.mp4,data/video_frames/35867-408654189/frame_00003.jpg,180,6.006
data/35867-408654189.mp4,data/video_frames/35867-408654189/frame_00004.jpg,240,8.008
data/35867-408654189.mp4,data/video_frames/35867-408654189/frame_00005.jpg,300,10.01
data/35867-408654189.mp4,data/video_frames/35867-408654189/frame_00006.jpg,360,12.012
data/35867-408654189.mp4,data/video_frames/35867-408654189/frame_00007.jpg,420,14.014
data/35867-408654189.mp4,data/video_frames/35867-408654189/frame_00008.jpg,480,16.016
data/35867-408654189.mp4,data/video_frames/35867-408654189/frame_00009.jpg,540,18.018
data/35867-408654189.mp4,data/video_frames/35867-408654189/frame_00010.jpg,600,20.02
data/35867-408654189.mp4,data/video_frames/35867-408654189/frame_00011.jpg,660,22.022
data/35867-408654189.mp4,data/video_frames/35867-408654189/frame_00012.jpg,720,24.024
data/35867-408654189.mp4,data/video_frames/35867-408654189/frame_00013.jpg,780,26.026
data/7240-199190963_medium.mp4,data/video_frames/7240-199190963_medium/frame_00000.jpg,0,0.0
data/7240-199190963_medium.mp4,data/video_frames/7240-199190963_medium/frame_00001.jpg,50,2.0
data/7240-199190963_medium.mp4,data/video_frames/7240-199190963_medium/frame_00002.jpg,100,4.0
data/7240-199190963_medium.mp4,data/video_frames/7240-199190963_medium/frame_00003.jpg,150,6.0
data/7240-199190963_medium.mp4,data/video_frames/7240-199190963_medium/frame_00004.jpg,200,8.0
data/7240-199190963_medium.mp4,data/video_frames/7240-199190963_medium/frame_00005.jpg,250,10.0
data/7240-199190963_medium.mp4,data/video_frames/7240-199190963_medium/frame_00006.jpg,300,12.0
data/81950-576572872_medium.mp4,data/video_frames/81950-576572872_medium/frame_00000.jpg,0,0.0
data/81950-576572872_medium.mp4,data/video_frames/81950-576572872_medium/frame_00001.jpg,60,2.002
data/81950-576572872_medium.mp4,data/video_frames/81950-576572872_medium/frame_00002.jpg,120,4.004
data/81950-576572872_medium.mp4,data/video_frames/81950-576572872_medium/frame_00003.jpg,180,6.006
data/81950-576572872_medium.mp4,data/video_frames/81950-576572872_medium/frame_00004.jpg,240,8.008
data/81950-576572872_medium.mp4,data/video_frames/81950-576572872_medium/frame_00005.jpg,300,10.01
data/81950-576572872_medium.mp4,data/video_frames/81950-576572872_medium/frame_00006.jpg,360,12.012
data/81950-576572872_medium.mp4,data/video_frames/81950-576572872_medium/frame_00007.jpg,420,14.014
data/81950-576572872_medium.mp4,data/video_frames/81950-576572872_medium/frame_00008.jpg,480,16.016
data/Video Con blurr.mp4,data/video_frames/Video Con blurr/frame_00000.jpg,0,0.0
data/Video Con blurr.mp4,data/video_frames/Video Con blurr/frame_00001.jpg,50,2.0
data/Video Con blurr.mp4,data/video_frames/Video Con blurr/frame_00002.jpg,100,4.0
data/Video Con blurr.mp4,data/video_frames/Video Con blurr/frame_00003.jpg,150,6.0
data/Video Con blurr.mp4,data/video_frames/Video Con blurr/frame_00004.jpg,200,8.0
data/Video Con blurr.mp4,data/video_frames/Video Con blurr/frame_00005.jpg,250,10.0
data/Video Con blurr.mp4,data/video_frames/Video Con blurr/frame_00006.jpg,300,12.0
data/Video Con blurr.mp4,data/video_frames/Video Con blurr/frame_00007.jpg,350,14.0
data/Video Con blurr.mp4,data/video_frames/Video Con blurr/frame_00008.jpg,400,16.0
